"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate","Quartal","AnzahlInNachfolgendenPatchen","AnzahlInVorherigenPatchen"
"Garen","Mecha Kingdoms","15-Jan-2020",18276,0.0194,0.1165,0.0541,0.0797,0.4869,0.5067,-0.0971,-0.0256,-0.0198,21,1,3
"Garen","Warring Kingdoms","19-Jan-2017",17185,0.007,0.0073,0.0289,0.0276,0.5025,0.4709,-3e-04,0.0013,0.0316,9,1,1
"Gnar","Gentleman","14-Jul-2015",16630,0.0202,0.0179,0.1111,0.1233,0.4801,0.4815,0.0023,-0.0122,-0.00139999999999996,3,0,0
"Gnar","El León","01-Jun-2016",16953,0.0018,0.0014,0.0461,0.0375,0.4839,0.488,4e-04,0.0086,-0.00409999999999999,6,0,0
"Gnar","Super Galaxy","16-Oct-2017",17455,0.0366,0.0309,0.088,0.0774,0.4842,0.4887,0.0057,0.0106,-0.0045,12,0,1
"Gnar","Snow Day","10-Dec-2015",16779,0.0043,0.0072,0.0736,0.0906,0.4919,0.4907,-0.0029,-0.017,0.00119999999999998,4,1,1
"Gnar","SSG","20-Jul-2018",17732,0.0088,0.0089,0.0516,0.0278,0.4696,0.47,-9.99999999999994e-05,0.0238,-0.000399999999999956,15,0,0
"Gragas","Gragas Caskbreaker","07-Dec-2015",16776,0.0023,0.0064,0.0397,0.0773,0.4631,0.4799,-0.0041,-0.0376,-0.0168,4,0,0
"Gragas","Arctic Ops","25-Jan-2018",17556,0.0015,0.0035,0.0343,0.0357,0.4573,0.446,-0.002,-0.00140000000000001,0.0113,13,0,0
"Graves","Cutthroat","21-Jul-2015",16637,0.0025,0.0037,0.1858,0.1727,0.492,0.4899,-0.0012,0.0131,0.00209999999999999,3,0,0
"Graves","Praetorian","08-Nov-2018",17843,0.1157,0.3506,0.1455,0.2092,0.5029,0.5086,-0.2349,-0.0637,-0.00570000000000004,16,0,1
"Graves","Battle Professor","15-May-2019",18031,0.0067,0.0093,0.0502,0.0435,0.4888,0.496,-0.0026,0.0067,-0.00719999999999998,18,1,1
"Graves","Snow Day","14-Dec-2016",17149,0.0148,0.0704,0.1052,0.1103,0.4996,0.5027,-0.0556,-0.00509999999999999,-0.00310000000000005,8,1,2
"Graves","Victorious","08-Nov-2017",17478,0.01,0.0025,0.0736,0.0284,0.4597,0.4541,0.0075,0.0452,0.00559999999999999,12,1,3
"Hecarim","Elderwood","25-Nov-2015",16764,0.0055,0.0035,0.0587,0.0567,0.4991,0.5196,0.002,0.002,-0.0205,4,2,2
"Hecarim","Worldbreaker","10-Nov-2016",17115,0.2474,0.1973,0.1267,0.0823,0.5347,0.5306,0.0501,0.0444,0.00409999999999999,8,0,1
"Hecarim","High Noon","10-Oct-2019",18179,0.0373,0.0686,0.0674,0.0694,0.5106,0.5132,-0.0313,-0.002,-0.00259999999999994,20,0,0
"Hecarim","Lancer Zero","16-Aug-2017",17394,0.0066,0.0083,0.0334,0.0333,0.4877,0.5056,-0.0017,9.99999999999959e-05,-0.0179,11,0,0
"Heimerdinger","Dragon Trainer","11-Oct-2018",17815,0.0103,0.0072,0.0343,0.0232,0.5206,0.5276,0.0031,0.0111,-0.00700000000000001,16,0,0
"Illaoi","Resistance","15-Mar-2018",17605,0.0533,0.0951,0.039,0.0445,0.5057,0.4992,-0.0418,-0.0055,0.00650000000000006,13,0,1
"Irelia","Order of the Lotus","03-Jun-2015",16589,0.1096,0.1269,0.1448,0.1161,0.5199,0.5182,-0.0173,0.0287,0.00170000000000003,2,0,0
"Irelia","Divine Sword","04-Sep-2018",17778,0.4217,0.1657,0.1884,0.0904,0.5017,0.4689,0.256,0.098,0.0328000000000001,15,1,2
"Irelia","PROJECT","01-Aug-2019",18109,0.1048,0.1441,0.1257,0.137,0.4567,0.4579,-0.0393,-0.0113,-0.00119999999999998,19,1,2
"Irelia","iG","23-Apr-2019",18009,0.2071,0.1575,0.1632,0.1524,0.4738,0.4747,0.0496,0.0108,-0.000900000000000012,18,0,0
"Ivern","Dunkmaster","04-Apr-2019",17990,0.0035,0.0166,0.0165,0.0322,0.5103,0.513,-0.0131,-0.0157,-0.00270000000000004,18,1,1
"Janna","Star Guardian","05-Oct-2016",17079,0.0171,0.0109,0.1953,0.1667,0.5465,0.5391,0.0062,0.0286,0.00739999999999996,8,0,0
"Janna","Sacred Sword","27-Sep-2017",17436,0.4896,0.5382,0.238,0.2536,0.5375,0.5639,-0.0486,-0.0156,-0.0264,11,1,1
